"","Var1","Var2","Freq"
"1","A","A",6.46513847381298
"2","B","A",6.68262327491403
"3","C","A",6.44465290712009
"4","D","A",6.54438499391517
"5","E","A",6.53832514964863
"6","F","A",6.49020740524278
"7","G","A",6.522517280975
"8","H","A",6.3604921952949
"9","I","A",6.30014659696647
"10","J","A",6.42580869258063
"11","A","B",0.0135297609365514
"12","B","B",0.00887094834211966
"13","C","B",0.0138976839018656
"14","D","B",0.0129985819810066
"15","E","B",0.0113335329151326
"16","F","B",0.0111400345161481
"17","G","B",0.00976967314142144
"18","H","B",0.0124226728575586
"19","I","B",0.012889372023747
"20","J","B",0.0113734112381359
"21","A","C",0.200218904336444
"22","B","C",0.19640280283954
"23","C","C",0.201582682611823
"24","D","C",0.195126504748551
"25","E","C",0.202162179856893
"26","F","C",0.207765969319151
"27","G","C",0.21163837752761
"28","H","C",0.218212507919946
"29","I","C",0.212045256360239
"30","J","C",0.211560173575342
